fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
07.06;00.09;00.06;02.05;0.079;05.00;10.00;6,921527778;03.39;00.56;09.08;5
08.01;0,378472222;00.18;01.09;00.08;13.00;35.00.00;6,925;03.03;00.59;09.00;6
08.03;0,042361111;00.03;02.01;0.084;11.00;50.00.00;6,925;03.04;0,042361111;10.02;6
07.08;00.05;00.03;01.09;0.075;08.00;22.00;6,915972222;03.31;00.56;10.04;6
08.01;0,378472222;00.18;01.09;00.08;13.00;35.00.00;6,925;03.03;00.59;09.00;6
08.01;0,399305556;00.22;02.01;0.077;12.00;65.00.00;6,921527778;03.29;00.51;09.02;5
07.02;00.49;00.24;02.02;00.07;05.00;36.00.00;0,691666667;03.33;00.48;09.04;5
08.01;0,399305556;00.22;02.01;0.077;12.00;65.00.00;6,921527778;03.29;00.51;09.02;5
07.08;00.41;0,047222222;01.07;0,324305556;18.00;69.00.00;6,925694444;03.08;01.31;09.03;5
06.02;0,04375;00.31;01.07;0.08800000000000001;15.00;64.00.00;6,922916667;03.46;0,054861111;09.03;5
08.00;00.33;00.53;02.05;0.091;18.00;80.00.00;6,927777778;03.37;00.08;09.06;6
08.01;0,545138889;00.52;02.00;0,084722222;37.00.00;153.00.00;6,922916667;03.21;0,047916667;09.03;5
07.08;00.56;00.19;01.08;0.10400000000000001;12.00;47.00.00;6,919444444;03.19;0,064583333;09.05;5
08.04;0,043055556;00.09;02.02;0.084;11.00;108.00.00;6,919444444;03.15;0,045833333;09.08;5
08.04;00.06;00.01;02.02;0.085;14.00;111.00.00;6,919444444;03.15;0,045833333;09.08;5
10.01;00.31;00.44;02.03;00.08;22.00;46.00.00;6,936111111;03.32;0,046527778;09.07;6
07.08;00.56;00.19;01.08;0.10400000000000001;12.00;47.00.00;6,919444444;03.19;0,064583333;09.05;5
09.04;00.04;00.31;02.02;00.09;13.00;62.00.00;6,920833333;03.07;0,04375;10.05;6
08.03;00.54;00.28;01.09;0.077;11.00;40.00.00;6,929166667;03.39;0,042361111;10.00;6
07.08;00.56;00.12;02.00;0.08199999999999999;07.00;28.00.00;0,692361111;03.37;00.05;09.04;6
08.08;00.55;00.04;02.02;0.11900000000000001;14.00;56.00.00;6,918055556;03.21;00.06;10.09;6
07.00;0,047916667;00.08;01.08;0.09699999999999999;22.00;89.00.00;6,915972222;03.34;00.54;09.02;6
07.03;01.07;00.09;01.07;0.17800000000000002;10.00;89.00.00;6,918055556;03.03;00.57;09.00;5
08.08;00.55;00.04;02.02;0.11900000000000001;14.00;56.00.00;6,918055556;03.21;00.06;10.09;6
07.03;0,482638889;00.00;02.05;0.075;03.00;13.00;0,693055556;03.49;00.52;09.02;5
08.00;0,049305556;00.00;02.06;00.08;11.00;34.00.00;6,927777778;03.44;00.53;09.05;5
07.08;00.05;00.17;01.06;0.08199999999999999;21.00;102.00.00;0,691666667;03.39;00.48;09.05;5
09.00;0,043055556;00.04;01.09;0,101388889;27.00.00;90.00.00;6,933333333;03.16;00.07;09.04;5
08.02;01.33;00.00;01.07;0.081;03.00;12.00;6,919444444;03.53;00.49;10.09;5
08.01;01.33;00.00;01.08;0.08199999999999999;03.00;12.00;6,919444444;03.54;00.48;10.09;5
08.00;00.59;00.16;01.08;0.065;03.00;16.00;6,918055556;03.42;0,063888889;10.05;7
06.01;00.38;00.15;01.08;0.07200000000000001;06.00;19.00;6,913194444;03.42;00.57;09.04;5
08.00;0,517361111;00.56;02.00;0.11800000000000001;30.00.00;134.00.00;6,922222222;03.24;0,045833333;09.04;5
05.06;00.05;00.09;02.03;0.049;17.00;99.00.00;6,900694444;0,16875;0,04375;13.00;5
05.06;00.05;00.09;02.03;0.049;17.00;99.00.00;6,900694444;0,16875;0,04375;13.00;5
06.06;00.05;00.01;01.05;00.06;17.00;26.00.00;6,911111111;03.04;00.58;09.08;6
07.09;01.04;00.05;02.02;0.084;13.00;29.00.00;6,915972222;03.22;00.55;09.09;6
08.04;0,517361111;00.11;01.09;00.09;16.00;63.00.00;6,920138889;03.19;0,056944444;09.06;5
08.03;0,496527778;00.15;01.08;0.08900000000000001;10.00;52.00.00;6,922222222;03.23;0,053472222;09.05;5
07.02;0,288194444;00.36;02.00;0.081;13.00;45.00.00;6,925;03.48;0,044444444;09.02;5
07.08;00.56;00.19;02.01;0.081;15.00;105.00.00;6,918055556;03.33;00.54;09.05;5
07.08;00.56;00.19;02.00;0.081;17.00;108.00.00;6,918055556;03.32;00.54;09.05;5
08.04;0,517361111;00.11;01.09;00.09;16.00;63.00.00;6,920138889;03.19;0,056944444;09.06;5
08.03;0,496527778;00.15;01.08;0.08900000000000001;10.00;52.00.00;6,922222222;03.23;0,053472222;09.05;5
05.02;00.34;00.00;01.08;00.05;27.00.00;63.00.00;6,886111111;0,172222222;0,054861111;14.00;6
06.03;00.39;00.08;01.07;0.066;03.00;20.00;6,9125;03.34;00.58;09.04;5
05.02;00.34;00.00;01.08;00.05;27.00.00;63.00.00;6,886111111;0,172222222;0,054861111;14.00;6
08.01;0,046527778;00.55;01.08;0.11699999999999999;32.00.00;141.00.00;6,922222222;03.17;0,043055556;09.04;5
05.08;0,047222222;00.02;01.08;0.087;21.00;94.00.00;6,905555556;03.54;00.52;10.00;5
07.06;00.49;00.26;01.06;0.23600000000000002;10.00;88.00.00;6,922222222;03.11;00.08;09.03;5
06.09;00.49;00.01;02.03;0.07400000000000001;12.00;30.00.00;6,915972222;03.42;00.58;10.02;6
08.02;00.04;00.44;02.08;0.08900000000000001;11.00;43.00.00;6,927083333;03.53;0,042361111;10.05;6
07.03;00.33;00.47;02.01;0.077;05.00;11.00;6,915277778;03.33;00.53;10.03;6
09.02;00.52;01.00;03.04;0,042361111;32.00.00;69.00.00;6,941666667;0,134722222;02.00;09.04;4
07.05;00.06;00.03;01.08;0.095;25.00.00;99.00.00;0,690972222;03.35;00.54;10.01;5
07.05;00.06;00.03;01.08;0.095;25.00.00;99.00.00;0,690972222;03.35;00.54;10.01;5
07.01;00.43;00.42;05.05;00.07;29.00.00;129.00.00;6,925694444;03.42;0,05;10.05;5
07.01;00.43;00.42;05.05;0.071;28.00.00;128.00.00;6,925694444;03.42;0,049305556;10.05;5
07.01;00.43;00.42;05.05;00.07;29.00.00;129.00.00;6,925694444;03.42;0,05;10.05;5
07.01;00.43;00.42;05.05;0.071;28.00.00;128.00.00;6,925694444;03.42;0,049305556;10.05;5
07.01;0,047222222;00.00;02.02;0.073;12.00;22.00;6,922916667;03.48;00.05;09.03;5
06.08;00.06;00.18;01.09;0.079;18.00;86.00.00;6,922222222;03.59;00.57;09.03;6
07.06;0,065972222;00.03;02.00;00.09;07.00;20.00;6,915972222;03.02;00.56;09.06;5
07.06;0,047222222;00.02;01.03;0.07200000000000001;09.00;20.00;6,920138889;03.17;01.08;09.02;4
07.08;00.53;00.04;01.07;0.076;17.00;31.00.00;6,919444444;03.33;00.56;10.00;6
07.04;00.06;00.26;07.03;00.07;36.00.00;121.00.00;6,931944444;03.37;00.49;09.04;5
07.03;00.59;00.26;07.02;00.07;35.00.00;121.00.00;6,93125;03.37;00.49;09.04;5
07.08;0,04375;00.48;01.07;00.01;14.00;96.00.00;6,917361111;03.19;0,043055556;09.05;5
06.08;0,044444444;00.01;02.01;0.085;18.00;101.00.00;6,913888889;03.34;00.52;10.02;5
07.03;00.55;00.03;01.06;0.07200000000000001;17.00;42.00.00;6,913888889;03.37;00.48;09.00;4
06.08;0,04375;00.07;02.01;0.08900000000000001;11.00;44.00.00;6,911805556;03.47;00.55;10.04;6
07.05;0,489583333;00.24;01.08;00.36;15.00;63.00.00;6,919444444;03.00;01.59;09.05;5
07.09;0,614583333;00.03;01.08;0.057999999999999996;04.00;08.00;6,925;03.36;00.33;09.01;4
08.00;00.42;00.17;02.00;0.073;06.00;18.00;6,925;03.29;0,042361111;09.02;6
08.00;00.42;00.17;02.00;0.073;06.00;18.00;6,925;03.29;0,042361111;09.02;6
07.04;0,043055556;00.05;01.09;0.068;24.00.00;42.00.00;6,917361111;03.42;00.57;11.05;6
07.03;00.38;00.21;02.00;00.08;07.00;35.00.00;6,917361111;03.33;00.47;09.05;5
06.09;00.05;00.04;01.05;0.085;19.00;49.00.00;6,915277778;03.35;0,054166667;09.05;5
07.03;00.38;00.21;02.00;00.08;07.00;35.00.00;6,917361111;03.33;00.47;09.05;5
07.05;00.52;00.42;02.03;0.087;08.00;38.00.00;6,925;03.58;0,042361111;10.05;6
07.00;0,559027778;00.00;02.05;0.068;07.00;20.00;6,922916667;03.48;00.56;09.06;5
08.08;0,042361111;00.14;02.04;0.067;10.00;42.00.00;6,922916667;03.19;00.59;09.05;5
08.08;0,042361111;00.14;02.04;0.067;10.00;42.00.00;6,922916667;03.19;00.59;09.05;5
08.09;0,042361111;00.49;02.00;00.27;23.00;110.00.00;6,925;03.12;01.02;09.03;5
07.02;0,050694444;00.02;02.05;0.076;16.00;42.00.00;6,925;03.44;00.52;09.03;5
06.08;0,042361111;00.02;01.08;0.077;11.00;65.00.00;6,924305556;03.54;00.58;09.03;5
06.07;0,043055556;00.21;01.09;0.079;08.00;62.00.00;0,692361111;03.52;00.58;09.03;6
08.09;00.31;00.57;02.00;0,077083333;26.00.00;85.00.00;6,924305556;03.26;00.53;09.07;5
07.04;00.39;00.48;02.00;0.08199999999999999;14.00;67.00.00;6,925;03.34;00.55;09.02;5
07.07;0,489583333;00.01;02.06;0.084;09.00;26.00.00;6,927777778;03.39;00.49;09.07;5
07.09;00.05;00.33;02.00;0.084;15.00;143.00.00;6,922222222;03.02;00.55;09.05;5
07.09;00.49;00.32;01.09;0.08199999999999999;17.00;144.00.00;6,922222222;03.02;00.55;09.05;5
08.02;00.05;00.35;02.09;0.077;21.00;127.00.00;6,927777778;03.23;0,043055556;09.04;5
06.04;00.37;00.25;01.09;0.07400000000000001;21.00;49.00.00;6,926388889;03.57;0,043055556;09.08;6
06.08;0,04375;00.12;03.08;0.099;16.00;126.00.00;6,922916667;03.28;0,042361111;09.05;5
07.06;00.55;00.21;02.02;0.071;07.00;28.00.00;6,919444444;03.28;00.55;09.07;5
07.06;00.55;00.21;02.02;0.071;07.00;28.00.00;6,919444444;03.28;00.55;09.07;5
07.08;00.59;00.33;02.00;0.07400000000000001;24.00.00;120.00.00;6,922222222;03.25;00.54;09.04;5
07.03;00.58;00.03;02.04;0.07400000000000001;15.00;55.00.00;6,922222222;03.46;00.59;10.02;5
11.05;00.03;00.06;02.00;0.067;12.00;27.00.00;6,93125;03.11;0,067361111;10.01;6
05.04;0,579861111;00.08;01.02;0.046;13.00;93.00.00;6,891666667;03.57;0,059027778;13.00;7
06.09;01.09;00.06;02.01;0.061;12.00;31.00.00;6,908333333;03.51;00.43;11.04;4
09.06;00.32;00.47;01.04;0.055999999999999994;09.00;24.00.00;0.99695;03.22;0,056944444;10.03;7
08.08;00.37;00.48;02.01;0.09699999999999999;39.00.00;145.00.00;6,927083333;03.04;01.03;09.03;5
06.08;00.05;00.11;01.05;0.075;16.00;49.00.00;0.99545;03.36;0,054861111;09.05;5
07.00;00.42;00.35;01.06;0.08800000000000001;16.00;39.00.00;6,917361111;03.34;00.55;09.02;5
07.00;00.43;00.36;01.06;0.08900000000000001;14.00;37.00.00;0.99615;03.34;00.56;09.02;6
12.08;00.03;0,051388889;02.06;0.095;09.00;28.00.00;6,940277778;03.02;0,053472222;10.08;7
12.08;00.03;0,051388889;02.06;0.095;09.00;28.00.00;6,940277778;03.02;0,053472222;10.08;7
07.08;00.57;00.31;01.08;0.069;26.00.00;120.00.00;0.99625;03.29;00.53;09.03;5
07.08;00.44;00.28;02.07;00.01;18.00;95.00.00;6,920833333;03.22;0,046527778;09.04;5
11.00;00.03;00.58;02.01;0.054000000000000006;07.00;19.00;0,693055556;03.31;0,061111111;10.05;7
09.07;00.53;00.06;02.00;0.039;05.00;19.00;0.99585;03.03;0,059722222;12.04;6
08.00;0,503472222;00.24;02.08;0.083;10.00;62.00.00;0.99685;03.35;00.56;10.00;6
11.06;00.44;0,044444444;02.01;0.059000000000000004;05.00;15.00;0,693055556;03.21;0,046527778;10.02;6
08.02;00.57;00.26;02.02;00.06;28.00.00;65.00.00;6,915972222;03.03;00.43;10.01;5
07.08;0,510416667;00.08;02.04;0.092;10.00;41.00.00;6,926388889;03.24;0,049305556;09.08;6
07.00;00.49;00.49;05.06;00.06;26.00.00;121.00.00;6,926388889;03.34;0,052777778;10.05;5
08.07;0,434027778;00.16;02.00;0.10099999999999999;13.00;49.00.00;6,918055556;03.14;00.57;11.00;5
08.01;0,503472222;00.22;02.02;0.07200000000000001;11.00;41.00.00;6,921527778;03.36;00.55;09.01;5
07.05;00.49;00.19;01.09;0.076;10.00;44.00.00;6,914583333;03.39;00.54;09.07;5
07.08;00.53;00.33;02.04;00.08;24.00.00;144.00.00;0.99655;03.03;00.06;09.05;5
07.08;00.34;00.37;02.00;0.08199999999999999;24.00.00;58.00.00;6,919444444;03.34;00.59;09.04;6
07.04;00.53;00.26;02.00;0.10099999999999999;16.00;72.00.00;6,914583333;03.15;00.57;09.04;5
06.08;0,042361111;00.04;01.05;0.057;05.00;10.00;0.99525;03.42;00.06;09.05;5
08.06;0,447916667;00.25;02.00;0.083;08.00;28.00.00;0.99815;03.28;00.06;10.00;6
08.04;0,440972222;00.36;02.00;0.08900000000000001;15.00;55.00.00;0.99745;03.31;00.57;10.04;4
07.07;00.43;00.25;02.06;0.073;29.00.00;63.00.00;0.99615;03.37;00.58;10.05;6
08.09;00.59;00.05;02.00;0,234027778;27.00.00;81.00.00;6,919444444;03.04;0,084027778;09.05;6
09.00;0,056944444;00.14;02.06;0.08900000000000001;09.00;23.00;6,933333333;03.39;0,04375;09.08;5
07.07;00.43;00.25;02.06;0.073;29.00.00;63.00.00;0.99615;03.37;00.58;10.05;6
06.09;00.52;00.25;02.06;0.081;10.00;37.00.00;0.99685;03.46;00.05;11.00;5
05.02;00.48;00.04;01.06;0.054000000000000006;19.00;106.00.00;6,89375;03.54;0,043055556;12.02;7
08.00;00.38;00.06;01.08;0.078;12.00;49.00.00;0.99625;03.37;00.52;09.09;6
08.05;00.37;00.02;02.08;00.09;18.00;58.00.00;0,693055556;03.34;00.07;09.06;6
06.09;00.52;00.25;02.06;0.081;10.00;37.00.00;0.99685;03.46;00.05;11.00;5
08.02;01.00;00.09;02.03;0.065;07.00;37.00.00;0.99685;03.32;00.55;09.00;6
07.02;0,04375;00.00;01.09;0.09699999999999999;14.00;38.00.00;0.99675;03.37;00.58;09.00;6
07.02;0,04375;00.00;01.09;0.09699999999999999;14.00;38.00.00;0.99675;03.37;00.58;09.00;6
07.02;0,447916667;00.00;01.09;0.09699999999999999;15.00;39.00.00;0.99675;03.37;00.58;09.02;6
07.02;0,04375;00.00;01.09;0.09699999999999999;14.00;38.00.00;0.99675;03.37;00.58;09.00;6
08.02;01.00;00.09;02.03;0.065;07.00;37.00.00;0.99685;03.32;00.55;09.00;6
08.09;0,440972222;00.37;01.07;0,182638889;05.00;62.00.00;6,924305556;03.00;01.09;09.03;5
12.00;00.38;00.56;02.01;0.09300000000000001;06.00;24.00.00;0.99925;03.14;0,049305556;10.09;6
07.07;00.58;00.01;01.08;0,070833333;28.00.00;109.00.00;0.99565;03.08;00.49;09.08;6
15.00;00.21;00.44;02.02;0.075;10.00;24.00.00;100.005;03.07;0,058333333;09.02;7
15.00;00.21;00.44;02.02;0.075;10.00;24.00.00;100.005;03.07;0,058333333;09.02;7
07.03;0,045833333;00.00;02.00;0.084;06.00;23.00;6,932638889;0,167361111;0,066666667;09.09;6
07.01;0,047222222;00.07;01.09;0.075;16.00;51.00.00;0.99685;03.38;00.52;09.05;5
08.02;00.06;00.17;02.03;0.07200000000000001;11.00;73.00.00;6,91875;03.02;00.45;09.03;5
07.07;00.53;00.06;01.07;0.07400000000000001;09.00;39.00.00;0.99615;03.35;00.48;09.08;6
07.03;0,045833333;00.00;02.00;0.084;06.00;23.00;6,932638889;0,167361111;0,066666667;09.09;6
10.08;00.32;00.44;01.06;0.063;16.00;37.00.00;6,934027778;03.22;0,054166667;10.00;6
07.01;00.06;00.00;01.08;0.07400000000000001;16.00;34.00.00;6,925;03.47;00.07;09.09;6
11.01;00.35;00.48;03.01;00.09;05.00;21.00;6,934722222;03.17;00.53;10.05;5
07.07;0,538194444;00.42;01.09;0.092;08.00;86.00.00;6,915972222;03.23;00.59;09.05;5
07.01;00.06;00.00;01.08;0.07400000000000001;16.00;34.00.00;6,925;03.47;00.07;09.09;6
08.00;00.57;00.23;03.02;0.073;17.00;119.00.00;0.99675;03.26;00.57;09.03;5
09.04;00.34;00.37;02.02;0.075;05.00;13.00;0,693055556;03.22;0,043055556;09.02;5
06.06;0,482638889;00.00;02.01;0.075;12.00;56.00.00;6,922222222;03.49;0,046527778;09.02;5
07.07;00.41;0,052777778;01.08;0,424305556;08.00;45.00.00;6,922222222;03.06;01.26;09.04;5
10.00;00.31;00.47;02.06;0.085;14.00;33.00.00;0.99965;03.36;00.08;10.05;7
07.09;00.33;00.23;01.07;0.077;18.00;45.00.00;0.99625;03.29;0,045138889;09.03;5
07.00;0,677083333;00.04;02.00;0.087;12.00;67.00.00;0.99565;03.35;00.06;09.04;4
